name,context,date
就爱BB粉墨,"            <img class=""BDE_Image"" pic_type=""0"" width=""560"" height=""294"" src=""http://imgsrc.baidu.com/forum/w%3D580/sign=8ae2f39e76f0f736d8fe4c093a54b382/5c283a01213fb80e5a6aa43638d12f2ebb3894dd.jpg"" style=""cursor: url(&quot;http://tb2.bdstatic.com/tb/static-pb/img/cur_zin.cur&quot;), pointer;"">",2019-06-29 09:18
就爱BB粉墨,"            这么说GD和TOP是跟YG续约了？！<br><img class=""BDE_Image"" pic_type=""0"" width=""530"" height=""446"" src=""http://imgsrc.baidu.com/forum/w%3D580/sign=22773b516b380cd7e61ea2e59145ad14/8cd270f082025aaf3606ba2af5edab64024f1a58.jpg"" style=""cursor: url(&quot;http://tb2.bdstatic.com/tb/static-pb/img/cur_zin.cur&quot;), pointer;"">",2019-06-29 09:19
森森小默,            没有胜利难受啊,2019-06-29 14:48
NEYMAR无悔,            换了老板啊 怎么能不改呢 菊在的时候还是五人啊,2019-06-29 21:03
阿阿阿阿阿程阿,            真的是难受。。,2019-06-30 03:25
爻姬子,            想哭,2019-06-30 03:39
runningpopo,            😭😭,2019-06-30 10:06
杯酒,            唉,2019-06-30 11:07
百一度一百一度,            胜利终止合约，所以现在当然BIGBANG是四个人,2019-06-30 11:23
空空如也ily,            太难受了,2019-06-30 12:42
是弹丸啊-,            哥哥们肯定很难受,2019-06-30 13:28
ibrgjk,            心痛,2019-06-30 14:14
ibrgjk,            粉了那么多年,2019-06-30 14:14
鯉魚男孩,            没有胜利不完整的BigBang,2019-06-30 14:34
宋茜TOP,            虽然可惜，但现实就是如此。,2019-07-01 00:06
lasombraqlv,"            理所当然啊 为什么难受呢<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""http://static.tieba.baidu.com/tb/editor/images/client/image_emoticon12.png""><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""http://static.tieba.baidu.com/tb/editor/images/client/image_emoticon12.png""> 犯了错就要承担后果 虽然很可惜…",2019-07-01 06:54
身上是权志龙,            没什么难过的 其他四个人还在就好 他做错事没必要让哥哥们替他承担,2019-07-01 09:53
52bigbangvip,            哎，后面的路不好走,2019-07-01 21:52
萝莉娅,"            <div class=""post_bubble_top"" style=""background:url(http://tb1.bdstatic.com/tb/cms/post/bubble/shengdian_1.png);height:26px;""></div><div class=""post_bubble_middle"" style=""background:url(http://tb1.bdstatic.com/tb/cms/post/bubble/shengdan_2.png)""><div class=""post_bubble_middle_inner"">什么玩意？？QAQ</div></div><div class=""post_bubble_bottom"" style=""background:url(http://tb1.bdstatic.com/tb/cms/post/bubble/shengdan_3.png);height:72px;""></div>",2019-07-02 07:26
权世界只爱g,            应该不是续约,2019-07-02 15:35
earth余娜,            5-1=0！坚守他们五个的美好，那些发言说贴吧也该改图片真的好吗？,2019-07-02 16:58
阿童木的阿,            那些说应有的活该什么的你们到底了解情况没有？应有什么？活该什么？胜利哪项罪名成立了？,2019-07-02 23:36
是弹丸啊-,            你们觉得胜利是罪犯也无所谓，但我们难过是我们的自由，谢谢,2019-07-03 22:40
Cipher,            唉,2019-07-04 20:39
非礼勿视ni,            不清楚胜利真的做过，还是只是替罪羊，毕竟韩娱的种种，我们外行人看不透彻，只是觉得喜欢了8年的团不完整了，很遗憾和惆怅，花开再相会，怕是遥遥无期了。,2019-07-05 13:51
ciiyou,            为什么,2019-07-10 18:26
深爱E神深碍你,            没什么可难受的，已经解约了撤掉图片和周边很正常啊,2019-07-12 13:35
6你可曾记得我6,            当初不是说缺一不可吗？,2019-07-12 22:02
搞搞,            心好痛,2019-07-13 09:50
圣剑独眼王,            *……,2019-07-13 16:38
