title,href,desc
比特币玄学：神秘的“上香”仪式背后暗藏哪些玄机？,https://www.jinse.com/blockchain/577590.html,技术社区将向创世地址进行小额转账的行为称为“上香”，通常是出于对中本聪的致敬。
2019年区块链应用落地哪家强？蚂蚁、迅雷和腾讯,https://www.jinse.com/blockchain/577563.html,较2019上半年，下半年各技术平台的落地数几乎都在减少。此外，就各平台已披露的项目而言，国内技术平台基本已经分出三条发展路径。
BitMEX Research：BSV经历了一次非共识链分裂,https://www.jinse.com/lives/143924.html,BitMEX Research在推特表示，BSV经历了一次非共识链分裂，它发生在14:36 UTC到14:51 UTC之间” ，不过。截至发稿时，很难看到拆分本身是否对Bitcoin SV的价格产生任何影响，因为经过一段横向移动之后，BSV在7小时内下跌了1.70％，随后再次上涨。（ambcrypto）
观点：关于行为的加密经济学假设,https://www.jinse.com/blockchain/577534.html,他那慷慨的威胁才是他的杀手锏。
金色荐读丨以太坊永不为奴 ETH2前途光明,https://www.jinse.com/blockchain/577520.html,毫不夸张的说，ETH2的研究团队是整个区块链领域中最有经验和才华的协议设计团队。
一文读懂加密货币智能钱包生态先行者,https://www.jinse.com/blockchain/577536.html,想抛开私钥和助记词，你必须了解一下智能钱包。
因加密投资暴富的玩家又出现了 可我已经输完了本金,https://www.jinse.com/blockchain/577517.html,我的故事，你的前车之鉴。
大盘继续整理 后市可期,https://www.jinse.com/blockchain/577532.html,正常节奏，理应如此
区块链系统治理一览：如何设计出确保区块链长期发展的治理机制？,https://www.jinse.com/blockchain/577529.html,如何设计一个能够确保区块链项目长期繁荣发展的治理系统？本文从更深的层次角度探讨链上治理系统的典型设计问题
中本聪与密码朋克们的故事：这些邮件可能是他身份的关键,https://www.jinse.com/blockchain/577523.html,近期，Blockstream首席执行官Adam Back 在接受外媒Cointelegraph采访时谈到了他与中本聪的电子邮件交流，以及他对比特币隐私的看法等内容。
盗电挖矿进了局子  比特币与人身自由你选哪个？,https://www.jinse.com/blockchain/577518.html,从俄罗斯核能研究所的硬核盗电，到国内矿工屡禁不止的偷电挖矿，未来也许偷电挖矿事件还会出现。但是，比特币网络需要矿工提供的安全保障，但也也需要矿工合法挖矿。
区块链竞赛：中国和美国落地上有哪些差异？,https://www.jinse.com/blockchain/577487.html,走一条“中国特色”区块链之路。
BTC月线盘面预示距离牛抬头只一步之遥,https://www.jinse.com/news/blockchain/577497.html,BTC月线盘面预示距离牛抬头只一步之遥
区块链发票落地浙江半年记： 507家医疗机构上链、节省超3000万票据成本,https://www.jinse.com/blockchain/577486.html,6个月破1亿张！区块链电子票据的浙江速度。
Coinbase 前副总裁：中心化存储去中心化货币 是否破坏了加密货币的意义？,https://www.jinse.com/blockchain/577484.html,加密货币交易本质上是不可逆的。政府或银行无法按下全局重置按钮来返还被盗资金。一旦加密货币消失，它就真的消失了。
看完这27家区块链概念公司去年的业绩 就知道区块链行业的真实现况了,https://www.jinse.com/blockchain/577468.html,截至1月20日，37家区块链概念上市公司披露了2019年业绩预告，超过7成公司预喜。
Polkadot VS Cosmos：谁是2020跨链之王？（上）,https://www.jinse.com/blockchain/577454.html,密码极客首届线上辩论赛全程回顾
华尔街大鳄丢币 加密世界“丢份”,https://www.jinse.com/blockchain/577450.html,正如Vitalik所言“我们应该将钱包做的更好更易用，而不应让用户自己去保证其安全性。”
加入CRC 欧科集团的新品牌战略布局又进一步？,https://www.jinse.com/news/blockchain/577451.html,欧科集团旗下OKCoin的高管在推特上宣布，正式加入加密评级委员会。
10年盘面走势预示BTC一波大爆炸行情或在酝酿,https://www.jinse.com/news/blockchain/577448.html,10年盘面走势预示BTC一波大爆炸行情或在酝酿
2019年区块链应用落地哪家强？蚂蚁、迅雷和腾讯,https://www.jinse.com/blockchain/577563.html,较2019上半年，下半年各技术平台的落地数几乎都在减少。此外，就各平台已披露的项目而言，国内技术平台基本已经分出三条发展路径。
区块链发票落地浙江半年记： 507家医疗机构上链、节省超3000万票据成本,https://www.jinse.com/blockchain/577486.html,6个月破1亿张！区块链电子票据的浙江速度。
看完这27家区块链概念公司去年的业绩 就知道区块链行业的真实现况了,https://www.jinse.com/blockchain/577468.html,截至1月20日，37家区块链概念上市公司披露了2019年业绩预告，超过7成公司预喜。
华尔街大鳄丢币 加密世界“丢份”,https://www.jinse.com/blockchain/577450.html,正如Vitalik所言“我们应该将钱包做的更好更易用，而不应让用户自己去保证其安全性。”
加入CRC 欧科集团的新品牌战略布局又进一步？,https://www.jinse.com/news/blockchain/577451.html,欧科集团旗下OKCoin的高管在推特上宣布，正式加入加密评级委员会。
中国版“监管沙箱”走向前台,https://www.jinse.com/news/blockchain/577437.html,近日，北京市金融科技创新监管试点应用首批名单、上海金融科技中心建设实施方案先后出炉。业内人士指出，这标志着中国版金融“监管沙箱”正式走上前台。
过年期间 或会孕育新一轮机会,https://www.jinse.com/blockchain/577400.html,比特币量能又缩下来了，昨天减产币反弹的时候，比特币的反弹并没有跟上，说明近期仍然不是比特币的主导行情，比特币继续在这个位置震荡为主。
BTC减半之外 矿业还会发生这三件大事,https://www.jinse.com/blockchain/577399.html,“看历史的人如果少，历史就比较容易重演，看历史的人多了，‘历史’才能改变。”
比特币价格走势和黄金涨跌有相关性吗？,https://www.jinse.com/news/blockchain/577413.html,比特币与黄金，分别是数字黄金和实物黄金，这两者之间的涨跌有没有联系？
2020年区块链从试验走向规模化 保险、贸易、公证等行业场景应用凸显,https://www.jinse.com/news/blockchain/577401.html,区块链在金融端的探索越走越深。
区块链如何应对量子计算的挑战？,https://www.jinse.com/blockchain/577398.html,量子计算对区块链构成威胁吗？简短的答案是肯定的，但有细微差别需要考虑
比特币上的DeFi之路,https://www.jinse.com/blockchain/577382.html,比特币的DeFi有可能实现吗？
韩国互联网银行Kakao Bank计划今年底上市 腾讯为第二大股东,https://www.jinse.com/blockchain/577289.html,据IPO早知道消息，韩国最大纯互联网银行Kakao Bank的一位高管近期表示，公司准备在今年年底前在该国股市上市。
数字金融市场 将成为重要竞争之地,https://www.jinse.com/news/blockchain/577376.html,“中国，已经成为了全球规模最大的数字金融市场。”
Matt Spoke：风投公司正在助长新型经济风险,https://www.jinse.com/blockchain/577359.html,​Matthew Spoke是OAN开放应用公网联合创始人兼CEO、开放基金会创始人兼CEO，以及以太坊企业联盟创始理事会成员。
肖飒：区块链技术及其应用的法律边界是什么？,https://www.jinse.com/news/blockchain/577352.html,法律如何给区块链技术及其应用赋能？也就是说，区块链技术及其应用的法律边界是什么？
18张图表+8个问题 快速了解2019加密货币市场,https://www.jinse.com/blockchain/577335.html,近日，区块链领域全球领先媒体The Block发布了2019年加密货币市场研究报告，报告披露了大量的数据。同时，资产管理公司Bitwise也刚刚对400多名传统投资顾问做了问卷调查。
英国银行平台Cashaa推出加密友好的银行服务,https://www.jinse.com/blockchain/577319.html,英国银行服务平台Cashaa推出了一款新产品以为个人和企业提供加密服务。
区块链：告别浮躁 深耕应用,https://www.jinse.com/blockchain/577316.html,“食品溯源、电子发票、物流跟踪、跨境支付……”2019年，区块链去中心化、可追溯、防篡改等硬核实力逐渐被挖掘，它不再是比特币的代名词，而正成为赋能千行百业的“利器”。
虚拟币交易 你的卡为什么被冻 怎么办？,https://www.jinse.com/blockchain/577303.html,你的币为什么会被冻？被冻了怎么办？
区块链早餐：俄罗斯、韩国考虑对加密货币交易征税（2020年1月21日  周二）,https://www.jinse.com/blockchain/577308.html,24小时区块链资讯，3分钟全知道！
谷燕西：区块链支持的Quick Bite,https://www.jinse.com/news/blockchain/577286.html,Quibi计划于2020年4月6日上线。计划在上线的第一年总共推出175个项目内容，大约总共为8500个短剧。合计约为每个工作日三个小时的崭新的内容。
SEC委员Robert Jackson：监管者需努力追赶技术进步,https://www.jinse.com/blockchain/577283.html,美国市场监管机构证券交易委员会（SEC）委员Robert Jackson表示，数字资产的快速增长和算法驱动的投资建议已成为监管机构在追赶技术进步的同时寻求保护投资者的一项主要挑战。
北京市两会观察：“区块链”成利器 信息技术为检法赋能,https://www.jinse.com/blockchain/577042.html,月15日，北京市十五届人大三次会议审议市高级人民法院工作报告和市人民检察院工作报告，多次提到信息技术对于检法工作的促进，以区块链为代表的新型技术正在全面为检法赋能。
加拿大监管机构再发力 全新交易所指南进一步规范加密货币市场,https://www.jinse.com/news/blockchain/576130.html,各国的监管机构对数字货币的监管力度正在不断加大。
《四川省区块链产业白皮书（2019 年）》发布 这7个方向有望成“新风口”,https://www.jinse.com/news/blockchain/575893.html,四川区块链产业发展情况到底怎样?哪些是当前区块链技术应用的重点方向?
地方两会上关于区块链的风向标 你get到了几个？,https://www.jinse.com/news/blockchain/575873.html,关于区块链，地方两会代表们说了些什么？地方两会上的区块链议题，又会给行业带来怎样的风向？
北京营商环境政策3.0版：将聚焦区块链技术、信用制等四个重点,https://www.jinse.com/blockchain/575327.html,推出了优化营商环境政策的3.0版
新的美国国会法案寻求对小额加密货币交易免税,https://www.jinse.com/blockchain/575324.html,该法案将在现有的国税局豁免类别中添加一个新类别
